population,plato,mutation,media,desvio padrao,varianca
200,100,0,128859.000,5751.853,33083814.000
200,100,5,135517.000,2405.010,5784073.500
200,100,10,136768.000,1774.238,3147920.000
200,100,15,136156.000,1388.696,1928475.250
200,100,20,138427.000,1245.676,1551707.625
200,200,0,119732.000,9084.203,82522752.000
200,200,5,134767.000,3420.283,11698337.000
200,200,10,133758.000,4707.984,22165110.000
200,200,15,134449.000,1243.945,1547398.750
200,200,20,137073.000,962.918,927211.625
200,300,0,116190.000,9258.389,85717752.000
200,300,5,129828.000,2313.131,5350576.000
200,300,10,134892.000,1341.748,1800288.625
200,300,15,133298.000,715.549,512010.406
200,300,20,134395.000,1860.541,3461612.000
200,400,0,110996.000,3426.162,11738586.000
200,400,5,130382.000,2415.005,5832250.000
200,400,10,133689.000,3072.980,9443206.000
200,400,15,134600.000,1530.928,2343739.750
200,400,20,135433.000,2352.649,5534957.500
200,500,0,109150.000,4141.792,17154444.000
200,500,5,127974.000,2677.552,7169281.500
200,500,10,132257.000,2592.268,6719852.000
200,500,15,134022.000,2230.921,4977009.000
200,500,20,133562.000,3446.526,11878539.000
