population,plato,mutation,media,desvio padrao,varianca
800,100,0,390.000,18.499,342.200
800,100,5,361.000,4.919,24.200
800,100,10,383.000,26.340,693.800
800,100,15,396.000,10.611,112.600
800,100,20,402.000,12.822,164.400
800,200,0,355.000,25.799,665.600
800,200,5,352.000,17.607,310.000
800,200,10,356.000,16.273,264.800
800,200,15,385.000,12.704,161.400
800,200,20,390.000,16.492,272.000
800,300,0,335.000,12.075,145.800
800,300,5,347.000,27.756,770.400
800,300,10,348.000,33.550,1125.600
800,300,15,373.000,22.773,518.600
800,300,20,391.000,7.694,59.200
800,400,0,358.000,18.740,351.200
800,400,5,368.000,13.638,186.000
800,400,10,362.000,10.412,108.400
800,400,15,360.000,17.338,300.600
800,400,20,381.000,16.267,264.600
800,500,0,340.000,17.181,295.200
800,500,5,340.000,30.604,936.600
800,500,10,333.000,34.412,1184.200
800,500,15,370.000,9.879,97.600
800,500,20,368.000,18.644,347.600
