population,plato,mutation,media,desvio padrao,varianca
600,100,0,126595.000,4221.061,17817356.000
600,100,5,134098.000,2769.271,7668865.000
600,100,10,135887.000,1191.573,1419846.750
600,100,15,136297.000,517.587,267896.812
600,100,20,137086.000,1072.895,1151104.250
600,200,0,113117.000,4347.099,18897272.000
600,200,5,129168.000,5064.634,25650522.000
600,200,10,133747.000,1781.145,3172478.750
600,200,15,134737.000,1625.184,2641221.750
600,200,20,135266.000,435.602,189749.000
600,300,0,110345.000,4617.530,21321580.000
600,300,5,131600.000,4001.067,16008534.000
600,300,10,132526.000,1956.220,3826795.500
600,300,15,135078.000,1828.348,3342856.500
600,300,20,134060.000,2099.667,4408603.000
600,400,0,112038.000,3659.594,13392632.000
600,400,5,130530.000,1769.759,3132047.000
600,400,10,129470.000,2695.999,7268409.000
600,400,15,130811.000,2401.854,5768904.000
600,400,20,133927.000,1124.466,1264424.625
600,500,0,105759.000,7614.472,57980180.000
600,500,5,127398.000,6042.812,36515576.000
600,500,10,133498.000,1256.574,1578978.750
600,500,15,132384.000,2456.157,6032707.000
600,500,20,132267.000,1725.582,2977631.750
