population,plato,mutation,media,desvio padrao,varianca
400,100,0,128776.000,4397.503,19338032.000
400,100,5,134179.000,2498.809,6244045.000
400,100,10,137111.000,864.404,747194.375
400,100,15,136414.000,2110.559,4454457.500
400,100,20,137618.000,1115.229,1243736.250
400,200,0,116086.000,9288.212,86270872.000
400,200,5,129977.000,4042.865,16344757.000
400,200,10,135596.000,1325.252,1756292.250
400,200,15,134748.000,2301.021,5294700.000
400,200,20,135703.000,1808.466,3270549.750
400,300,0,111542.000,3237.054,10478518.000
400,300,5,129390.000,3482.814,12129995.000
400,300,10,133713.000,2707.603,7331113.000
400,300,15,132767.000,2288.805,5238628.000
400,300,20,134957.000,1869.553,3495230.000
400,400,0,109081.000,4246.773,18035086.000
400,400,5,127361.000,3157.476,9969652.000
400,400,10,135143.000,1512.527,2287738.500
400,400,15,133081.000,2475.667,6128929.000
400,400,20,135054.000,1425.889,2033160.625
400,500,0,106829.000,5243.552,27494838.000
400,500,5,127491.000,4508.799,20329270.000
400,500,10,132082.000,3340.123,11156418.000
400,500,15,132550.000,1219.166,1486365.625
400,500,20,132237.000,2217.530,4917439.000
