population,plato,mutation,media,desvio padrao,varianca
600,100,0,358.000,33.728,1137.600
600,100,5,389.000,20.871,435.600
600,100,10,398.000,20.469,419.000
600,100,15,410.000,4.604,21.200
600,100,20,401.000,5.367,28.800
600,200,0,376.000,30.712,943.200
600,200,5,369.000,12.969,168.200
600,200,10,374.000,31.765,1009.000
600,200,15,379.000,17.967,322.800
600,200,20,380.000,10.060,101.200
600,300,0,348.000,37.531,1408.600
600,300,5,369.000,13.077,171.000
600,300,10,365.000,35.547,1263.600
600,300,15,361.000,15.767,248.600
600,300,20,372.000,16.093,259.000
600,400,0,357.000,16.162,261.200
600,400,5,337.000,24.536,602.000
600,400,10,365.000,13.907,193.400
600,400,15,375.000,12.884,166.000
600,400,20,374.000,12.466,155.400
600,500,0,341.000,20.794,432.400
600,500,5,331.000,25.207,635.400
600,500,10,359.000,8.270,68.400
600,500,15,363.000,25.985,675.200
600,500,20,381.000,12.617,159.200
