population,plato,mutation,media,desvio padrao,varianca
1000,100,0,378.000,32.323,1044.800
1000,100,5,375.000,20.620,425.200
1000,100,10,400.000,15.748,248.000
1000,100,15,377.000,12.498,156.200
1000,100,20,388.000,18.740,351.200
1000,200,0,352.000,15.375,236.400
1000,200,5,339.000,23.191,537.800
1000,200,10,374.000,20.115,404.600
1000,200,15,358.000,28.726,825.200
1000,200,20,383.000,8.798,77.400
1000,300,0,346.000,22.018,484.800
1000,300,5,342.000,32.951,1085.800
1000,300,10,360.000,36.856,1358.400
1000,300,15,353.000,12.696,161.200
1000,300,20,371.000,9.980,99.600
1000,400,0,361.000,21.223,450.400
1000,400,5,346.000,13.914,193.600
1000,400,10,350.000,18.352,336.800
1000,400,15,372.000,26.623,708.800
1000,400,20,374.000,15.447,238.600
1000,500,0,346.000,17.135,293.600
1000,500,5,320.000,21.541,464.000
1000,500,10,369.000,12.538,157.200
1000,500,15,344.000,13.100,171.600
1000,500,20,379.000,9.359,87.600
