population,plato,mutation,media,desvio padrao,varianca
200,100,0,387.000,21.652,468.800
200,100,5,389.000,10.640,113.200
200,100,10,393.000,19.900,396.000
200,100,15,420.000,8.741,76.400
200,100,20,409.000,7.155,51.200
200,200,0,381.000,21.288,453.200
200,200,5,377.000,16.155,261.000
200,200,10,378.000,30.751,945.600
200,200,15,386.000,23.199,538.200
200,200,20,397.000,10.488,110.000
200,300,0,365.000,14.656,214.800
200,300,5,327.000,21.647,468.600
200,300,10,380.000,19.442,378.000
200,300,15,397.000,29.155,850.000
200,300,20,380.000,16.401,269.000
200,400,0,371.000,23.774,565.200
200,400,5,336.000,19.089,364.400
200,400,10,370.000,28.678,822.400
200,400,15,392.000,22.226,494.000
200,400,20,355.000,31.315,980.600
200,500,0,338.000,14.642,214.400
200,500,5,361.000,11.883,141.200
200,500,10,324.000,10.276,105.600
200,500,15,360.000,13.107,171.800
200,500,20,359.000,23.173,537.000
